0,-10009
1,-10858
2,-8558
3,-12348
4,-14435
5,-13183
6,-12830
7,-7699
8,-9217
9,-8379
10,-6415
11,-6564
12,-8898
13,-8964
14,-8671
15,-10535
16,-7716
17,-8340
18,-6275
19,-10352
20,-7343
21,-8424
22,-9420
23,-10118
24,-6109
25,-8846
26,-8656
27,-9474
28,-7858
29,-6753
30,-9922
31,-4552
32,-10501
33,-10548
34,-8071
35,-9401
36,-4736
37,-5726
38,-9544
39,-5059
40,-4650
41,-7802
42,-7230
43,-6623
44,-5204
45,-8887
46,-3228
47,-6881
48,-3905
49,-8730
50,-8543
51,-4406
52,-5757
53,-4196
54,-5282
55,-6406
56,-3889
57,-3451
58,-8633
59,-6678
60,-3213
61,-3357
62,-6150
63,-3082
64,-8037
65,-2608
66,-5754
67,-4665
68,-4859
69,-3923
70,-5314
71,-3331
72,-3242
73,-2672
74,-5266
75,-5768
76,-6615
77,-2890
78,-887
79,-5511
80,-1389
81,-3052
82,-647
83,-9936
84,-1487
85,-2736
86,-6558
87,-4785
88,120
89,-55
90,-9850
91,-2822
92,-4547
93,-7025
94,-6378
95,-1165
96,-1935
97,-5053
98,698
99,-1845
100,-2990
101,-4236
102,-7473
103,2415
104,-1578
105,-1456
106,-150
107,-5554
108,-853
109,-1224
110,-3530
111,-4641
112,-1103
113,-7203
114,-2379
115,-89
116,-6158
117,-4425
118,-1477
119,-2914
120,-376
121,-3012
122,-4253
123,793
124,-1434
125,449
126,-1252
127,518
128,-1358
129,-1510
130,-914
131,-2476
132,-9201
133,-1374
134,-5123
135,-618
136,-1116
137,-1650
138,-1528
139,-203
140,-3602
141,1085
142,-844
143,-197
144,1281
145,-637
146,241
147,1510
148,2172
149,-4893
150,459
151,876
152,1289
153,-8231
154,935
155,-2029
156,1337
157,376
158,1912
159,920
160,1719
161,-3033
162,480
163,-641
164,1679
165,-1942
166,2196
167,621
168,-1217
169,2777
170,-877
171,69
172,456
173,-2434
174,895
175,-112
176,1744
177,3507
178,1188
179,-64
180,2385
181,929
182,-334
183,-4039
184,1276
185,2172
186,1590
187,1286
188,2064
189,1822
190,1628
191,695
192,1794
193,-670
194,-975
195,-4049
196,-544
197,2153
198,131
199,-3010
200,2592
201,1663
202,3792
203,2460
204,2625
205,-7638
206,4856
207,2221
208,2531
209,1079
210,1999
211,1562
212,1389
213,2207
214,3269
215,2386
216,2819
217,814
218,2515
219,2316
220,2640
221,486
222,3108
223,2241
224,1613
225,1459
226,-1800
227,1442
228,-8990
229,-1020
230,-2054
231,3414
232,2077
233,3749
